date,Dir,Spd,Temp,Radiance
2020-01-05 18:00:00,0.8,0.0,0.89453125,0.121037464
2020-01-05 19:00:00,0.8,0.0,0.87109375,0.023054755
2020-01-05 20:00:00,0.8,0.033557047,0.859375,0.0
2020-01-06 06:00:00,0.8,0.0,0.8203125,0.0
2020-01-06 07:00:00,0.8,0.0,0.83984375,0.051873199
2020-01-06 08:00:00,0.7714285714285715,0.020134228,0.86328125,0.213256484
2020-01-06 09:00:00,0.7714285714285715,0.10738255,0.88671875,0.288184438
2020-01-06 10:00:00,0.7428571428571429,0.10402684549999999,0.8984375,0.374639769
2020-01-06 11:00:00,0.7428571428571429,0.100671141,0.92578125,0.357348703
2020-01-06 12:00:00,0.7428571428571429,0.147651007,0.9609375,0.723342939
2020-01-06 13:00:00,0.7428571428571429,0.181208054,0.81640625,0.265129683
2020-01-06 14:00:00,0.8285714285714286,0.134228188,0.74609375,0.028818444
2020-01-06 15:00:00,0.7428571428571429,0.013422819,0.73828125,0.014409222
2020-01-06 16:00:00,0.34285714285714286,0.033557047,0.73828125,0.028818444
2020-01-06 17:00:00,0.2857142857142857,0.067114094,0.7734375,0.100864553
2020-01-06 18:00:00,0.2857142857142857,0.0,0.79296875,0.109510086
2020-01-06 19:00:00,0.8,0.0,0.78515625,0.034582133
2020-01-06 20:00:00,0.8,0.073825503,0.7578125,0.0
2020-01-07 06:00:00,0.7714285714285715,0.0,0.796875,0.0
2020-01-07 07:00:00,0.8,0.006711409,0.8203125,0.043227666
2020-01-07 08:00:00,0.8,0.020134228,0.84375,0.16426513
2020-01-07 09:00:00,0.8,0.053691275,0.90234375,0.446685879
2020-01-07 10:00:00,0.8,0.087248322,0.92578125,0.657060519
2020-01-07 11:00:00,0.8,0.134228188,0.91015625,0.778097983
2020-01-07 12:00:00,0.34285714285714286,0.12304250566666666,0.94140625,0.812680115
2020-01-07 13:00:00,0.34285714285714286,0.11185682333333334,0.9765625,0.956772334
2020-01-07 14:00:00,0.34285714285714286,0.100671141,0.9453125,0.622478386
2020-01-07 15:00:00,0.34285714285714286,0.120805369,0.9765625,0.680115274
2020-01-07 16:00:00,0.3142857142857143,0.174496644,0.9375,0.475504323
2020-01-07 17:00:00,0.3142857142857143,0.201342282,0.89453125,0.21037464
2020-01-07 18:00:00,0.3142857142857143,0.161073826,0.86328125,0.074927954
2020-01-07 19:00:00,0.34285714285714286,0.147651007,0.8359375,0.011527378
2020-01-07 20:00:00,0.3142857142857143,0.181208054,0.83203125,0.0
2020-01-08 06:00:00,0.3142857142857143,0.087248322,0.77734375,0.0
2020-01-08 07:00:00,0.2857142857142857,0.013422819,0.796875,0.051873199
2020-01-08 08:00:00,0.34285714285714286,0.053691275,0.828125,0.115273775
2020-01-08 09:00:00,0.3142857142857143,0.11409396,0.90625,0.342939481
2020-01-08 10:00:00,0.34285714285714286,0.181208054,0.93359375,0.642651297
2020-01-08 11:00:00,0.3142857142857143,0.208053691,0.95703125,0.841498559
2020-01-08 12:00:00,0.3142857142857143,0.228187919,0.94140625,0.878962536
2020-01-08 13:00:00,0.34285714285714286,0.214765101,0.91015625,0.587896254
2020-01-08 14:00:00,0.37142857142857144,0.22147651000000002,0.9296875,0.628242075
2020-01-08 15:00:00,0.37142857142857144,0.228187919,0.84375,0.498559078
2020-01-08 16:00:00,0.34285714285714286,0.181208054,0.81640625,0.121037464
2020-01-08 17:00:00,0.3142857142857143,0.11409396,0.86328125,0.250720461
2020-01-08 18:00:00,0.34285714285714286,0.080536913,0.8359375,0.144092219
2020-01-08 19:00:00,0.37142857142857144,0.073825503,0.80859375,0.017291066
2020-01-08 20:00:00,0.3142857142857143,0.060402685,0.79296875,0.0
2020-01-09 06:00:00,0.3142857142857143,0.134228188,0.79296875,0.0
2020-01-09 07:00:00,0.34285714285714286,0.10738255,0.78515625,0.023054755
2020-01-09 08:00:00,0.3142857142857143,0.11409396,0.74609375,0.051873199
2020-01-09 09:00:00,0.2857142857142857,0.033557047,0.78125,0.083573487
2020-01-09 10:00:00,0.3142857142857143,0.154362416,0.78125,0.175792507
2020-01-09 11:00:00,0.3142857142857143,0.134228188,0.81640625,0.299711816
2020-01-09 12:00:00,0.3142857142857143,0.154362416,0.7890625,0.250720461
2020-01-09 13:00:00,0.34285714285714286,0.026845638,0.84375,0.463976945
2020-01-09 14:00:00,0.7714285714285715,0.026845638,0.796875,0.135446686
2020-01-09 15:00:00,0.34285714285714286,0.067114094,0.8203125,0.152737752
2020-01-09 16:00:00,0.34285714285714286,0.033557047,0.8359375,0.244956772
2020-01-09 17:00:00,0.2857142857142857,0.0,0.85546875,0.195965418
2020-01-09 18:00:00,0.3142857142857143,0.060402685,0.84765625,0.135446686
2020-01-09 19:00:00,0.2857142857142857,0.067114094,0.80859375,0.025936599
2020-01-09 20:00:00,0.34285714285714286,0.11409396,0.7890625,0.0
2020-01-10 06:00:00,0.3142857142857143,0.020134228,0.75,0.0
2020-01-10 07:00:00,0.34285714285714286,0.080536913,0.77734375,0.057636888
2020-01-10 08:00:00,0.3142857142857143,0.053691275,0.83203125,0.18443804
2020-01-10 09:00:00,0.3142857142857143,0.046979866,0.9296875,0.435158501
2020-01-10 10:00:00,0.37142857142857144,0.093959732,0.890625,0.46685879
